mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09263999999999,31.729853000000002,2019-06-02 05:14:00,7.8,,192.90001,0
413837369,121.09299999999999,31.731577,2019-06-02 05:38:00,6.4,,9.2,0
413837369,121.09472,31.741207,2019-06-02 05:44:00,6.1,,10.900001,0
413837369,121.09605400000001,31.746353000000003,2019-06-02 05:48:00,6.5,,20.1,0
413837369,121.09823,31.758353999999997,2019-06-02 05:54:00,6.2000003,,4.8,0
413837369,121.09871000000001,31.763626000000002,2019-06-02 05:58:00,6.0,0.0,8.0,0
413837369,121.09836999999999,31.771,2019-06-02 06:02:00,6.3,,352.5,0
413837369,121.096176,31.778753000000002,2019-06-02 06:06:00,6.6,,348.1,0
413837369,121.09783999999999,31.786720000000003,2019-06-02 06:10:00,3.9,,21.2,0
413837369,121.09798400000001,31.787373,2019-06-02 06:20:00,1.6,,201.2,0
